id,year,city,brand,p1m,weekly,daily,visit,ppa,spending,segmentation,R_score,F_score,M_score,RFM_segment,KMeans_segment
100512,2017,Hà Nội,Cộng Cà Phê,Yes,No,No,3.0,60.0,960.0,Seg.03 - Premium (VND 60K - VND 99K),2,2,3,223,0
101269,2017,Hà Nội,Highlands Coffee,Yes,Yes,Yes,20.0,60.0,1200.0,Seg.03 - Premium (VND 60K - VND 99K),4,4,3,443,3
101920,2017,Hồ Chí Minh,Highlands Coffee,Yes,Yes,No,5.0,40.0,200.0,Seg.02 - Mass Asp (VND 25K - VND 59K),3,3,2,332,1
101923,2017,Hồ Chí Minh,Highlands Coffee,Yes,No,No,2.0,100.0,800.0,Seg.04 - Super Premium (VND 100K+),2,1,4,214,2
101923,2017,Hồ Chí Minh,Trung Nguyên,Yes,Yes,No,5.0,100.0,800.0,Seg.04 - Super Premium (VND 100K+),3,3,4,334,3
101925,2017,Hồ Chí Minh,Trung Nguyên,Yes,No,No,2.0,50.0,100.0,Seg.02 - Mass Asp (VND 25K - VND 59K),2,1,2,212,2
101932,2017,Hồ Chí Minh,Highlands Coffee,Yes,No,No,3.0,35.0,105.0,Seg.02 - Mass Asp (VND 25K - VND 59K),2,2,1,221,0
101933,2017,Hồ Chí Minh,Highlands Coffee,Yes,Yes,No,10.0,50.0,500.0,Seg.02 - Mass Asp (VND 25K - VND 59K),3,4,2,342,1
102963,2017,Hà Nội,Cộng Cà Phê,Yes,Yes,No,10.0,45.0,450.0,Seg.02 - Mass Asp (VND 25K - VND 59K),3,4,2,342,1
102964,2017,Hà Nội,Cộng Cà Phê,Yes,Yes,No,4.0,40.0,160.0,Seg.02 - Mass Asp (VND 25K - VND 59K),3,3,2,332,1
102966,2017,Hà Nội,Cộng Cà Phê,Yes,Yes,No,4.0,35.0,140.0,Seg.02 - Mass Asp (VND 25K - VND 59K),3,3,1,331,1
102987,2017,Hà Nội,Highlands Coffee,Yes,No,No,2.0,60.0,120.0,Seg.03 - Premium (VND 60K - VND 99K),2,1,3,213,2
102989,2017,Hà Nội,Highlands Coffee,Yes,No,No,1.0,50.0,200.0,Seg.02 - Mass Asp (VND 25K - VND 59K),2,1,2,212,2
102990,2017,Hà Nội,Highlands Coffee,Yes,No,No,3.0,50.0,150.0,Seg.02 - Mass Asp (VND 25K - VND 59K),2,2,2,222,0
102991,2017,Hà Nội,Cộng Cà Phê,Yes,Yes,No,4.0,60.0,300.0,Seg.03 - Premium (VND 60K - VND 99K),3,3,3,333,3
102991,2017,Hà Nội,Highlands Coffee,Yes,No,No,1.0,60.0,300.0,Seg.03 - Premium (VND 60K - VND 99K),2,1,3,213,2
103024,2017,Hà Nội,Highlands Coffee,Yes,No,No,2.0,40.0,280.0,Seg.02 - Mass Asp (VND 25K - VND 59K),2,1,2,212,2
103026,2017,Hà Nội,Highlands Coffee,Yes,Yes,No,4.0,50.0,200.0,Seg.02 - Mass Asp (VND 25K - VND 59K),3,3,2,332,1
103027,2017,Hà Nội,Highlands Coffee,Yes,No,No,2.0,30.0,60.0,Seg.02 - Mass Asp (VND 25K - VND 59K),2,1,1,211,2
103029,2017,Hà Nội,Highlands Coffee,Yes,No,No,2.0,60.0,120.0,Seg.03 - Premium (VND 60K - VND 99K),2,1,3,213,2
103030,2017,Hà Nội,Highlands Coffee,Yes,No,No,2.0,30.0,60.0,Seg.02 - Mass Asp (VND 25K - VND 59K),2,1,1,211,2
103114,2017,Hà Nội,Cộng Cà Phê,Yes,No,No,2.0,70.0,140.0,Seg.03 - Premium (VND 60K - VND 99K),2,1,3,213,2
103115,2017,Hà Nội,Trung Nguyên,Yes,No,No,3.0,100.0,300.0,Seg.04 - Super Premium (VND 100K+),2,2,4,224,0
103540,2017,Cần Thơ,Trung Nguyên,Yes,No,No,2.0,30.0,60.0,Seg.02 - Mass Asp (VND 25K - VND 59K),2,1,1,211,2
104563,2017,Cần Thơ,Trung Nguyên,Yes,No,No,3.0,50.0,150.0,Seg.02 - Mass Asp (VND 25K - VND 59K),2,2,2,222,0
104629,2017,Hà Nội,Highlands Coffee,Yes,No,No,2.0,60.0,120.0,Seg.03 - Premium (VND 60K - VND 99K),2,1,3,213,2
104631,2017,Hà Nội,Highlands Coffee,Yes,No,No,3.0,65.0,195.0,Seg.03 - Premium (VND 60K - VND 99K),2,2,3,223,0
