id,city,dayofweek,visit_dayofweek,year,weekday_end,dayofweek_index
448895,Hà Nội,Saturday,1.0,2018,Weekends,6
448895,Hà Nội,Sunday,1.0,2018,Weekends,7
448896,Hà Nội,Saturday,3.0,2018,Weekends,6
448896,Hà Nội,Sunday,3.0,2018,Weekends,7
448896,Hà Nội,Wednesday,2.0,2018,Weekdays,3
448897,Hà Nội,Thursday,4.0,2018,Weekdays,4
448898,Hồ Chí Minh,Saturday,4.0,2018,Weekends,6
448898,Hồ Chí Minh,Sunday,4.0,2018,Weekends,7
448899,Hà Nội,Friday,2.0,2018,Weekdays,5
448899,Hà Nội,Wednesday,2.0,2018,Weekdays,3
448899,Hà Nội,Sunday,4.0,2018,Weekends,7
448902,Hà Nội,Thursday,3.0,2018,Weekdays,4
448902,Hà Nội,Monday,3.0,2018,Weekdays,1
448902,Hà Nội,Sunday,3.0,2018,Weekends,7
448908,Hà Nội,Saturday,4.0,2018,Weekends,6
448915,Nha Trang,Sunday,4.0,2018,Weekends,7
448915,Nha Trang,Thursday,4.0,2018,Weekdays,4
448915,Nha Trang,Monday,4.0,2018,Weekdays,1
448915,Nha Trang,Saturday,4.0,2018,Weekends,6
448915,Nha Trang,Tuesday,4.0,2018,Weekdays,2
448915,Nha Trang,Wednesday,4.0,2018,Weekdays,3
448915,Nha Trang,Friday,4.0,2018,Weekdays,5
448920,Đà Nẵng,Sunday,3.0,2018,Weekends,7
448920,Đà Nẵng,Friday,2.0,2018,Weekdays,5
448920,Đà Nẵng,Tuesday,3.0,2018,Weekdays,2
448920,Đà Nẵng,Monday,3.0,2018,Weekdays,1
448920,Đà Nẵng,Thursday,3.0,2018,Weekdays,4
448920,Đà Nẵng,Wednesday,3.0,2018,Weekdays,3
448920,Đà Nẵng,Saturday,3.0,2018,Weekends,6
448924,Hà Nội,Friday,3.0,2018,Weekdays,5
448924,Hà Nội,Wednesday,2.0,2018,Weekdays,3
448924,Hà Nội,Sunday,2.0,2018,Weekends,7
448930,Hà Nội,Saturday,4.0,2018,Weekends,6
448940,Hà Nội,Wednesday,1.0,2018,Weekdays,3
448940,Hà Nội,Friday,2.0,2018,Weekdays,5
448946,Hồ Chí Minh,Wednesday,3.0,2018,Weekdays,3
448946,Hồ Chí Minh,Friday,3.0,2018,Weekdays,5
448946,Hồ Chí Minh,Sunday,4.0,2018,Weekends,7
448946,Hồ Chí Minh,Tuesday,4.0,2018,Weekdays,2
448946,Hồ Chí Minh,Monday,3.0,2018,Weekdays,1
448946,Hồ Chí Minh,Thursday,4.0,2018,Weekdays,4
448946,Hồ Chí Minh,Saturday,4.0,2018,Weekends,6
448955,Hà Nội,Thursday,4.0,2018,Weekdays,4
448961,Đà Nẵng,Wednesday,2.0,2018,Weekdays,3
448961,Đà Nẵng,Tuesday,2.0,2018,Weekdays,2
448961,Đà Nẵng,Sunday,3.0,2018,Weekends,7
448961,Đà Nẵng,Saturday,3.0,2018,Weekends,6
448964,Hà Nội,Saturday,1.0,2018,Weekends,6
448964,Hà Nội,Tuesday,1.0,2018,Weekdays,2
448966,Hồ Chí Minh,Sunday,4.0,2018,Weekends,7
448966,Hồ Chí Minh,Saturday,2.0,2018,Weekends,6
448968,Hà Nội,Friday,3.0,2018,Weekdays,5
448972,Hồ Chí Minh,Sunday,3.0,2018,Weekends,7
448972,Hồ Chí Minh,Saturday,3.0,2018,Weekends,6
448972,Hồ Chí Minh,Monday,2.0,2018,Weekdays,1
448973,Nha Trang,Wednesday,4.0,2018,Weekdays,3
448973,Nha Trang,Saturday,4.0,2018,Weekends,6
448973,Nha Trang,Monday,4.0,2018,Weekdays,1
448973,Nha Trang,Tuesday,4.0,2018,Weekdays,2
448973,Nha Trang,Thursday,4.0,2018,Weekdays,4
448973,Nha Trang,Sunday,4.0,2018,Weekends,7
448973,Nha Trang,Friday,4.0,2018,Weekdays,5
448984,Hà Nội,Saturday,2.0,2018,Weekends,6
448984,Hà Nội,Sunday,1.0,2018,Weekends,7
448984,Hà Nội,Thursday,1.0,2018,Weekdays,4
448986,Hà Nội,Saturday,3.0,2018,Weekends,6
448986,Hà Nội,Sunday,1.0,2018,Weekends,7
448989,Hà Nội,Sunday,4.0,2018,Weekends,7
448994,Hà Nội,Thursday,2.0,2018,Weekdays,4
448994,Hà Nội,Tuesday,2.0,2018,Weekdays,2
448994,Hà Nội,Friday,4.0,2018,Weekdays,5
449000,Đà Nẵng,Sunday,5.0,2018,Weekends,7
449000,Đà Nẵng,Thursday,4.0,2018,Weekdays,4
449000,Đà Nẵng,Wednesday,4.0,2018,Weekdays,3
449000,Đà Nẵng,Saturday,5.0,2018,Weekends,6
449000,Đà Nẵng,Tuesday,4.0,2018,Weekdays,2
449000,Đà Nẵng,Monday,4.0,2018,Weekdays,1
